,Cities,Country,Max_temp,Lat,Lon,Cloudiness,Humidity,Windspeed
104,tautira,PF,82.4,-17.73,-149.15,75,69,13.87
105,saint anthony,US,26.96,43.97,-111.68,1,69,3.74
106,sahrak,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,lajkovac,RS,37.4,44.37,20.17,0,59,16.11
108,bubaque,GW,85.64,11.28,-15.83,0,81,5.97
109,kodiak,US,30.2,39.95,-94.76,90,100,12.75
110,karamea,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,busselton,AU,60.94,-33.64,115.35,0,100,22.53
112,abha,SA,57.2,18.22,42.5,0,54,1.95
113,linkou,CN,4.06,45.29,130.27,68,77,2.62
114,aksay,RU,33.8,47.27,39.86,75,100,4.47
115,bitung,ID,77,1.44,125.19,40,94,2.24
116,bone,ID,81.23,-10.32,123.57,48,93,7.54
117,kununurra,AU,77,-15.77,128.74,12,94,1.12
118,mayor pablo lagerenza,PY,96.49,-19.93,-60.77,20,44,17.6
119,bitkine,TD,77.41,11.98,18.21,8,23,8.77
120,marshall,US,35.06,39.39,-87.69,1,86,4.7
121,mys shmidta,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,trapani,IT,57.2,38.02,12.54,40,76,21.92
123,bethel,US,37.94,60.79,-161.76,40,69,16.11
124,belushya guba,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125,avarua,CK,80.6,-21.21,-159.78,40,78,6.93
126,yellowknife,CA,-16.61,62.45,-114.38,40,68,9.17
127,gwadar,PK,67.64,25.12,62.33,36,91,5.41
128,taolanaro,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,lebu,ET,47.48,8.96,38.73,0,38,4.18
130,bulgan,MN,-18.31,48.81,103.53,0,23,4.41
131,nuuk,GL,14,64.17,-51.74,40,85,4.7
132,grand river south east,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133,carballo,ES,50,43.21,-8.69,20,81,2.24
134,airai,TL,69.76,-8.93,125.41,68,92,1.61
135,auki,NG,74.84,12.18,6.51,8,31,4.18
136,havelock,US,39.92,34.88,-76.9,90,85,13.87
137,ilulissat,GL,-5.81,69.22,-51.1,40,53,1.12
138,leshukonskoye,RU,18.82,64.9,45.76,56,77,6.31
139,vestmannaeyjar,IS,39.2,63.44,-20.27,40,80,31.09
140,crossville,US,35.6,35.95,-85.03,90,80,5.82
141,goderich,CA,26.56,43.74,-81.71,48,89,7.65
142,gigmoto,PH,77.36,13.78,124.39,0,100,14.47
143,attawapiskat,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,west bend,US,32,43.43,-88.18,40,87,8.05
145,paka,HR,33.8,45.29,18.06,0,74,9.17
146,berlevag,NO,30.2,70.86,29.09,90,100,18.34
147,colchester,GB,44.6,51.89,0.9,20,81,2.24
148,torbay,CA,24.8,47.66,-52.73,20,68,19.46
149,kayerkan,RU,5.45,69.35,87.76,80,83,21.74
150,carutapera,BR,81.14,-1.2,-46.02,80,93,5.75
151,umred,IN,66.2,20.85,79.32,0,48,4.7
152,ancud,CL,69.8,-41.87,-73.83,0,49,5.82
153,minab,IR,66.2,27.15,57.07,88,82,2.24
154,viligili,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155,arawa,NG,78.71,7.05,3.9,32,77,1.16
156,saint george,GR,35.6,39.45,22.34,75,79,1.83
157,erenhot,CN,-13.9,43.65,111.97,0,39,6.76
158,cabo san lucas,MX,71.6,22.89,-109.91,90,56,8.05
159,warqla,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,madimba,CM,79.57,4.42,9.93,8,84,6.64
161,husavik,CA,11.12,50.56,-96.99,36,96,3.96
162,mar del plata,AR,83.62,-46.43,-67.52,8,23,8.55
163,muli,IN,59.32,22.62,71.45,0,61,7.99
164,dudinka,RU,7.7,69.41,86.18,76,75,22.75
165,chuy,UY,79.84,-33.69,-53.46,80,93,4.97
166,avera,US,48.2,33.19,-82.53,90,87,3.36
167,longyearbyen,NO,6.8,78.22,15.63,20,65,11.41
168,la rioja,AR,69.49,-29.41,-66.86,92,100,3.96
169,tammisaari,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,sabha,LY,39.61,27.03,14.43,0,61,7.76
171,sorvag,NaN,NaN,NaN,NaN,NaN,NaN,NaN
172,adrar,DZ,57.2,27.87,-0.29,0,30,5.82
173,amazar,RU,-17.95,53.86,120.88,20,48,3.29
174,yar-sale,RU,12.11,66.83,70.83,64,92,12.46
175,jinchengjiang,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,booue,GA,74.17,-0.09,11.94,12,98,1.5
177,ifakara,TZ,70.43,-8.13,36.68,32,100,1.72
178,sentyabrskiy,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,oume,CI,86.9,6.38,-5.42,48,65,2.95
180,bengkulu,NaN,NaN,NaN,NaN,NaN,NaN,NaN
181,deputatskiy,RU,-31.9,69.3,139.9,48,0,3.29
182,angoche,MZ,83.89,-16.23,39.91,32,97,14.03
183,gariadhar,IN,63.59,21.54,71.58,0,45,11.01
184,bielsk podlaski,PL,28.13,52.77,23.19,88,87,21.07
185,sinnamary,GF,81.23,5.38,-52.96,24,89,8.66
186,poli,CM,74.21,8.48,13.24,0,59,2.73
187,caravelas,BR,81.19,-17.73,-39.27,0,100,11.68
188,lata,IN,27.64,30.78,78.62,0,66,2.73
189,payo,ID,74.57,-3.75,103.64,88,95,2.51
190,coihaique,CL,73.4,-45.58,-72.07,0,17,8.05
191,nikolskoye,RU,32,59.7,30.79,90,92,8.95
192,napasar,IN,44.96,27.97,73.56,0,85,2.95
193,yelabuga,RU,8.6,55.76,52.06,40,78,15.66
194,mahadday weyne,NaN,NaN,NaN,NaN,NaN,NaN,NaN
195,mehamn,NO,30.2,71.03,27.85,90,100,18.34
196,leh,IN,-35.41,34.16,77.58,12,40,0.94
197,rungata,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,aklavik,CA,-20.21,68.22,-135.01,20,75,9.17
199,ribeira grande,PT,62.6,38.52,-28.7,40,77,8.05
200,kolvereid,NO,30.2,64.86,11.6,40,86,4.7
201,vardo,US,33.8,39.62,-77.74,1,47,4.7
202,mwinilunga,ZM,65.84,-11.73,24.43,92,93,5.3
203,ayacucho,PE,60.8,-13.16,-74.23,75,82,5.82
204,powell river,CA,35.6,49.84,-124.52,90,100,4.7
205,labuhan,ID,71.96,-2.54,115.51,68,97,0.94
206,praia da vitoria,PT,60.26,38.73,-27.07,56,100,9.55
207,trairi,BR,79.12,-3.28,-39.27,44,100,6.76
208,shangzhi,CN,14.54,45.21,127.96,76,82,5.41
209,grand gaube,MU,80.6,-20.01,57.66,20,74,6.93
210,le vauclin,MQ,84.2,14.55,-60.84,75,61,14.99
211,boyolangu,ID,74.12,-8.09,111.9,92,97,2.95
212,henties bay,NA,65.3,-22.12,14.28,88,94,7.09
213,devesel,RO,34.79,44.47,22.66,0,88,13.47
214,bilibino,RU,-46.35,68.06,166.44,12,0,2.28
215,hrodna,BY,29.3,53.68,23.83,88,89,19.39
216,sakakah,NaN,NaN,NaN,NaN,NaN,NaN,NaN
217,hamilton,CA,28.4,43.26,-79.87,40,68,5.82
218,leningradskiy,RU,-8.05,69.38,178.42,88,96,13.47
219,saryshagan,NaN,NaN,NaN,NaN,NaN,NaN,NaN
220,luganville,VU,81.64,-15.51,167.18,48,100,6.53
221,kendari,ID,73.36,-3.99,122.52,36,96,3.96
222,umm lajj,SA,61.52,25.02,37.27,44,100,8.99
223,saltpond,GH,84.47,5.2,-1.06,20,60,5.08
224,pisco,PE,71.6,-13.71,-76.2,20,30,11.41
225,alta floresta,BR,86,-9.87,-56.08,75,70,2.24
226,bambous virieux,MU,80.6,-20.34,57.76,20,74,6.93
227,sarangarh,IN,54.46,21.6,83.08,0,86,3.4
228,sayyan,YE,42.22,15.17,44.32,0,22,1.16
229,snasa,NO,26.96,64.25,12.38,80,79,10.45
230,elko,US,15.08,40.83,-115.76,1,69,5.82
231,nha trang,VN,77,12.24,109.19,75,73,6.93
232,thompson,CA,-13.01,55.74,-97.86,75,69,2.24
233,sibolga,ID,68.77,1.74,98.78,80,100,1.5
234,pedasi,PA,79.34,7.53,-80.03,0,98,20.07
235,kingaroy,AU,60.8,-26.54,151.84,75,93,5.82
236,kankan,GN,90.32,10.38,-9.3,24,18,6.53
237,egvekinot,RU,-13.45,66.32,-179.17,76,39,6.64
238,vila franca do campo,PT,60.8,37.72,-25.43,20,82,8.05
239,northam,GB,46.4,51.04,-4.21,75,70,3.36
240,cumra,TR,35.6,37.57,32.77,75,93,4.7
241,tateyama,JP,11.21,36.66,137.31,32,100,2.17
242,imbituba,BR,89.6,-28.24,-48.67,20,55,11.41
243,grand forks,US,21.92,47.91,-97.06,90,100,3.36
244,mahebourg,MU,80.6,-20.41,57.7,20,74,6.93
245,norman,US,40.82,35.22,-97.44,90,79,8.05
246,kruisfontein,ZA,68.09,-34,24.73,0,85,5.53
247,araure,VE,84.2,9.59,-69.23,20,39,6.93
248,kitimat,CA,35.6,54.02,-128.69,90,100,13.87
249,sitka,US,41.09,37.17,-99.65,0,81,5.64
250,eldikan,NaN,NaN,NaN,NaN,NaN,NaN,NaN
251,loukhi,RU,18.41,66.08,33.04,88,91,4.63
252,yefira,NaN,NaN,NaN,NaN,NaN,NaN,NaN
253,port moresby,PG,79.97,-9.47,147.16,36,100,4.97
254,evensk,RU,-5.71,61.92,159.24,64,100,7.54
255,quelimane,MZ,77,-17.88,36.89,75,94,8.05
256,kahului,US,66.2,20.89,-156.47,1,87,4.7
257,omboue,GA,81.41,-1.57,9.26,56,100,6.53
258,vanimo,PG,81.95,-2.67,141.3,48,100,17.94
259,qaqortoq,GL,26.6,60.72,-46.03,75,63,1.12
260,cubuk,TR,35.6,40.24,33.03,75,91,1.12
261,kutoarjo,ID,77.86,-7.72,109.9,92,100,4.41
262,suntar,RU,-35.19,62.16,117.65,0,0,2.95
263,sumbe,AO,77.72,-11.2,13.84,0,99,5.53
264,kloulklubed,PW,78.8,7.04,134.26,75,78,12.75
265,porto velho,BR,86,-8.75,-63.87,75,66,4.7
266,oranjemund,ZA,64.67,-28.55,16.43,0,95,19.51
267,ksenyevka,NaN,NaN,NaN,NaN,NaN,NaN,NaN
268,kiruna,SE,6.8,67.86,20.23,88,92,2.24
269,codrington,AU,64.4,-28.95,153.24,0,93,5.82
270,rio grande,BR,78.8,-32.03,-52.1,75,100,5.82
271,breznik,SI,41,46.14,14.89,75,65,12.75
272,mullaitivu,NaN,NaN,NaN,NaN,NaN,NaN,NaN
273,kemlya,RU,20.75,54.69,45.24,80,87,14.36
274,san patricio,PY,91.31,-26.98,-56.83,48,62,7.09
275,cayenne,GF,84.2,4.94,-52.33,90,70,12.75
276,broome,GB,38.12,52.47,1.45,12,93,3.36
277,bolungarvik,NaN,NaN,NaN,NaN,NaN,NaN,NaN
278,east london,ZA,71.6,-33.02,27.91,20,83,6.93
279,louisbourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN
280,jumla,NP,3.56,29.28,82.18,0,73,1.72
281,shabo,UA,35.6,46.13,30.39,0,80,6.71
282,sola,NO,35.6,58.89,5.65,75,80,13.87
283,lompoc,US,60.08,34.64,-120.46,90,66,9.17
284,port macquarie,AU,69.8,-31.43,152.91,0,83,9.17
285,cehegin,ES,57.2,38.09,-1.8,0,47,2.24
286,mbuyapey,PY,90.64,-26.22,-56.76,80,73,11.9
287,qingdao,CN,28.4,36.09,120.35,44,86,4.47
288,svetlogorsk,RU,6.8,53.14,59.15,40,84,6.71
289,cape coast,GH,84.47,5.11,-1.24,20,60,5.08
290,provideniya,RU,16.66,64.42,-173.23,56,100,24.65
291,kavieng,PG,84.02,-2.57,150.8,44,100,13.69
292,srednekolymsk,RU,-23.35,67.46,153.71,76,35,4.41
293,moerai,PF,76.69,-22.43,-151.33,92,100,16.82
294,spring hill,US,66.2,28.46,-82.54,75,63,4.7
295,vung tau,VN,79.66,10.35,107.08,24,93,11.23
296,chifeng,CN,4.91,42.27,118.96,0,32,15.03
297,luba,PH,63.19,17.32,120.7,0,78,2.95
298,novopskov,UA,28.72,49.54,39.1,92,95,14.25
299,fairbanks,US,-2.03,64.84,-147.72,20,84,3.4
300,constitucion,MX,60.8,23.99,-104.67,20,38,2.24
301,yuyao,CN,46.4,30.04,121.15,90,100,2.24
302,kysyl-syr,RU,-31.99,63.9,122.77,24,55,2.95
303,bacuit,NaN,NaN,NaN,NaN,NaN,NaN,NaN
304,dingle,PH,75.65,11,122.67,36,82,14.47
305,nortelandia,BR,89.74,-14.45,-56.8,8,77,4.07
306,poso,ID,76.24,-1.4,120.75,92,100,6.98
307,yulara,AU,82.4,-25.24,130.99,0,23,4.7
308,katwijk,NL,42.8,52.2,4.41,40,86,8.05
309,nizhneyansk,NaN,NaN,NaN,NaN,NaN,NaN,NaN
310,cairns,AU,77,-16.92,145.77,75,94,9.17
311,wenling,CN,48.61,28.38,121.38,92,100,4.52
312,consett,GB,41,54.85,-1.83,20,86,2.24
313,petropavlovskaya,RU,38.26,45.08,40.45,88,88,8.55
314,callaguip,PH,69.8,18.07,120.49,20,88,4.7
315,camacari,BR,86,-12.7,-38.32,20,70,9.17
316,walvis bay,NA,68,-22.95,14.51,88,77,6.93
317,springdale,US,33.98,36.19,-94.13,90,74,4.7
318,camana,NaN,NaN,NaN,NaN,NaN,NaN,NaN
319,neyvo-rudyanka,RU,11.3,57.34,60.13,20,75,5.41
320,fereydun kenar,IR,51.8,36.69,52.52,75,87,9.17
321,muros,ES,48.2,42.77,-9.06,0,81,5.82
322,ilhabela,BR,81.77,-23.78,-45.36,0,97,10.22
323,balabac,PH,81.82,7.99,117.06,92,99,18.84
324,hualmay,PE,77.32,-11.1,-77.61,12,69,6.42
325,presque isle,US,21.2,46.68,-68.02,20,48,6.76
326,raudeberg,NO,32,61.99,5.14,75,97,14.99
327,santa maria do suacui,BR,87.53,-18.19,-42.41,0,44,7.54
328,killarney,AU,60.94,-28.34,152.3,0,97,1.39
329,kavaratti,IN,82.67,10.57,72.64,0,100,6.53
330,kalmunai,LK,72.5,7.42,81.82,92,100,3.74
331,ponta delgada,PT,60.8,37.73,-25.67,20,82,8.05
332,sao felix do xingu,BR,71.11,-6.64,-51.99,92,100,1.39
333,smolenka,PL,28.13,54.15,22.76,48,84,18.72
334,flagstaff,US,46.4,35.2,-111.65,90,65,3.4
335,laguna,MX,71.6,27.52,-110.01,75,37,3.36
336,kryvyy rih,UA,35.6,47.92,33.35,90,80,15.66
337,calmatuiu,RO,37.4,43.97,24.87,75,90,18.34
338,itarema,BR,81.05,-2.92,-39.92,88,88,5.97
339,coquimbo,CL,71.6,-29.95,-71.34,0,56,14.99
340,heihe,RU,-2.21,50.24,127.51,0,58,8.95
341,anadyr,RU,-16.61,64.73,177.51,75,75,13.42
342,lavumisa,ZA,79.66,-27.31,31.88,92,75,6.2
343,cessnock,AU,71.6,-32.83,151.35,32,83,5.82
344,lorengau,PG,83.71,-2.02,147.27,92,98,15.26
345,norman wells,CA,-13.01,65.28,-126.83,75,69,8.05
346,tiarei,PF,82.4,-17.53,-149.33,75,69,13.87
347,ronneby,SE,33.8,56.21,15.28,0,59,14.99
348,san cristobal,EC,64.4,-0.39,-78.55,75,63,14.99
349,smirnykh,RU,-5.17,49.74,142.83,68,81,2.73
350,salta,AR,78.8,-24.79,-65.41,75,78,4.7
351,aykhal,RU,-55.12,65.95,111.51,0,0,2.73
352,fairmont,US,33.62,40.64,-97.59,90,95,11.41
353,asau,NaN,NaN,NaN,NaN,NaN,NaN,NaN
354,paamiut,GL,26.02,61.99,-49.67,8,100,8.77
355,kirovskiy,RU,3.61,45.09,133.51,64,63,2.17
356,novoorsk,RU,17.6,51.38,58.98,90,85,8.95
357,zhangjiakou,CN,-0.49,40.77,114.88,0,20,18.61
358,saleaula,NaN,NaN,NaN,NaN,NaN,NaN,NaN
359,celano,IT,50,42.09,13.54,20,70,8.05
360,lingao,CN,67.96,19.91,109.69,88,96,8.1
361,conde,BR,85.82,-11.81,-37.61,12,70,10.67
362,torez,UA,31.55,48.03,38.62,92,97,10.33
363,hami,CN,23.36,42.84,93.51,80,76,10.22
364,oksfjord,NO,30.2,70.24,22.35,75,80,8.05
365,kawalu,ID,66.65,-7.38,108.21,64,98,2.17
366,godean,ID,74.12,-7.65,111.91,92,97,2.95
367,bay-khaak,RU,-23.08,51.16,94.47,0,29,2.17
368,one hundred mile house,NaN,NaN,NaN,NaN,NaN,NaN,NaN
369,tlaltenango,MX,62.6,19.17,-98.35,40,51,9.17
370,tonantins,BR,84.56,-2.86,-67.77,32,75,5.75
371,trogir,HR,42.8,43.52,16.25,20,87,3.36
372,bahir dar,ET,55.31,11.59,37.39,0,36,3.85
373,aquiraz,BR,84.2,-3.9,-38.39,40,74,9.17
374,voloshka,RU,24.44,61.33,40.09,92,91,16.37
375,sakaiminato,JP,35.6,35.55,133.23,75,80,5.82
376,noyabrsk,RU,22.06,63.2,75.45,92,91,11.68
377,necochea,AR,76.82,-38.55,-58.74,12,85,8.43
378,ulaanbaatar,MN,-27.41,47.92,106.92,0,67,4.47
379,marcona,NaN,NaN,NaN,NaN,NaN,NaN,NaN
380,bud,NO,33.8,62.91,6.91,75,100,17.22
381,sawakin,SD,76.37,19.1,37.33,100,82,10
382,fernandina beach,US,60.8,30.67,-81.46,90,76,9.17
383,guaruja,BR,89.6,-23.99,-46.26,75,70,9.17
384,naze,NG,87.8,5.43,7.07,20,74,5.41
385,pangai,TO,80.6,-19.8,-174.35,40,83,6.93
386,lanester,FR,48.2,47.76,-3.34,90,66,1.12
387,paita,PE,62.6,-5.09,-81.11,75,290,13.87
388,gawler,AU,68,-34.6,138.75,0,49,4.7
389,mulege,MX,63.86,26.88,-111.98,64,66,3.4
390,tazovskiy,RU,18.05,67.47,78.7,76,81,14.25
391,malanje,AO,72.32,-9.54,16.35,20,70,7.54
392,marsaxlokk,MT,57.2,35.84,14.54,20,82,31.09
393,tessalit,ML,62.6,20.2,1.01,0,22,6.2
394,ostrovnoy,RU,10.99,68.05,39.51,36,75,7.99
395,mazagao,BR,86,-0.12,-51.29,75,66,8.05
396,garut,ID,66.65,-7.22,107.9,64,98,2.17
397,umm kaddadah,SD,62.87,13.6,26.69,12,37,8.43
398,najran,SA,69.8,17.54,44.22,0,21,5.97
399,sai buri,TH,74.03,6.7,101.62,0,92,3.06
400,jalu,LY,52.88,29.03,21.55,0,42,10.56
401,nizhnyaya tura,RU,10.04,58.62,59.87,20,80,5.97
402,plettenberg bay,ZA,67.51,-34.05,23.37,24,100,3.96
403,borama,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,sao joao da barra,BR,89.6,-21.64,-41.05,20,46,20.8
405,port blair,IN,82.58,11.67,92.75,64,100,11.45
406,kurdzhinovo,RU,27.37,43.99,40.96,12,68,3.85
407,warwick,US,33.98,41.7,-71.42,90,63,12.75
408,mana,RS,33.8,43.52,20.24,0,99,4.7
409,kehychivka,UA,33.22,49.29,35.77,88,96,15.26
410,roald,NO,32,62.58,6.12,75,80,12.75
411,narsaq,GL,26.6,60.91,-46.05,75,63,1.12
412,yibin,CN,43.57,28.77,104.64,88,99,4.74
413,valday,RU,30.65,57.98,33.25,92,89,16.49
414,dunedin,NZ,37.54,-45.87,170.5,12,89,2.95
415,urumqi,NaN,NaN,NaN,NaN,NaN,NaN,NaN
416,kudahuvadhoo,MV,82.36,2.67,72.89,80,100,13.47
417,barcelos,PT,46.4,41.53,-8.62,36,87,2.24
418,matara,PE,53.6,-13.74,-72.9,75,54,9.17
419,sandpoint,US,30.2,48.28,-116.55,1,68,14.99
420,winnemucca,US,30.92,40.97,-117.74,1,48,16.11
421,nokia,FI,12.2,61.48,23.51,0,92,4.74
422,ranong,TH,78.8,9.96,98.62,20,88,4.74
423,aktash,NaN,NaN,NaN,NaN,NaN,NaN,NaN
424,pontes e lacerda,BR,90.46,-15.23,-59.33,8,72,4.07
425,orumiyeh,IR,30.2,37.55,45.08,20,80,6.93
426,mayo,CA,-23.81,63.59,-135.9,5,74,2.62
427,namibe,AO,73.04,-15.19,12.15,36,100,12.46
428,wencheng,CN,45.23,27.79,120.09,92,100,2.17
429,dumka,IN,58.64,24.27,87.25,0,74,10
430,moree,AU,78.8,-29.46,149.84,0,50,14.99
431,chojnice,PL,30.79,53.7,17.57,36,84,19.28
432,lumsden,CA,26.6,50.65,-104.86,90,92,11.41
433,kaliua,TZ,64.36,-5.06,31.79,24,94,2.39
434,goryachegorsk,RU,-8.19,55.41,88.92,0,30,2.17
435,neiafu,TO,78.8,-18.65,-173.98,40,88,2.24
436,westport,IE,44.6,53.8,-9.52,75,100,13.87
437,sibu,MY,77,2.29,111.83,75,94,2.39
438,makhinjauri,GE,48.2,41.67,41.69,40,49,18.34
439,jaipur hat,NaN,NaN,NaN,NaN,NaN,NaN,NaN
440,tucumcari,US,48.02,35.17,-103.73,1,60,12.75
441,batsfjord,NO,30.2,70.63,29.72,0,92,3.36
442,linhares,BR,90.46,-19.38,-40.06,0,51,9.22
443,camacha,PT,64.4,33.08,-16.33,40,72,11.41
444,paragominas,BR,84.79,-3,-47.35,80,72,8.21
